objectID,date,old_date,weekday,unixtimestamp,batch,contents,sender,senderimgurl,textimgurl,notes
8507948,1/23/17 6:45 AM,2017-01-23 06:45:42,Sunday,1485153942,DCNF,"I can feel my heart beating harder, I'm so stressed out about all the ways this has the potential to go fully off the rails.",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795468/all_messages_split_to_14000_4_content_only-00-15.png,null
8507939,1/23/17 6:56 AM,2017-01-23 06:56:28,Monday,1485154588,DCNF,"I know. I just talked with John, we're getting together as soon as I get in to finish that write up for Andy this morning. I reminded John about how I had told Bill and the entire group that we should wait 30 to 60 days after the inauguration to change how were managing this stuff. As it is, he went ahead, and everything is completely falling off the rails. I think our stuff is good on our cases, but I have no hope or understanding about what they're doing on Jens side of the house. [redacted]",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795468/all_messages_split_to_14000_4_content_only-00-16.png,null
8507644,1/23/17 8:23 AM,2017-01-23 08:23:28,Monday,1485159808,DCNF,Hope Hicks - Wikipedia https://en.m.wikipedia.org/wiki/Hope_Hicks,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795468/all_messages_split_to_14000_4_content_only-00-17.png,null
8486002,1/23/17 12:12 PM,2017-01-23 12:12:16,Monday,1485173536,DCNF,Need to talk to you when you are done re [redacted],Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795468/all_messages_split_to_14000_4_content_only-00-18.png,null
8286004,1/23/17 3:46 PM,2017-01-23 15:46:40,Monday,1485186400,DCNF,Did bill send the [redacted] lhm?,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795468/all_messages_split_to_14000_4_content_only-00-19.png,null
8285023,1/24/17 11:19 AM,2017-01-24 11:19:00,Tuesday,1485256740,DCNF,I don't think the concern is you being there. The,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795468/all_messages_split_to_14000_4_content_only-00-20.png,null
8283007,1/24/17 11:22 AM,2017-01-24 11:22:00,Tuesday,1485256920,DCNF,You should def sit in! Just if the desire is to h,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795469/all_messages_split_to_14000_4_content_only-00-21.png,null
7906033,1/24/17 12:12 PM,2017-01-24 12:12:00,Tuesday,1485259920,DCNF,Good luck with her in there!,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795469/all_messages_split_to_14000_4_content_only-00-22.png,null
6987389,1/24/17 12:12 PM,2017-01-24 12:12:24,Tuesday,1485259944,DCNF,And that right there is the populist appeal of my leadership style!,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795469/all_messages_split_to_14000_4_content_only-00-23.png,null
6575821,1/25/17 7:21 AM,2017-01-25 07:21:55,Wednesday,1485328915,DCNF,Perfect. Sounds like you did it just right. And [redacted] would LOVE that. And it would be awesome for him.,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795470/all_messages_split_to_14000_4_content_only-00-24.png,null
6350009,1/25/17 7:24 AM,2017-01-25 07:24:54,Wednesday,1485329094,DCNF,"Jr and he were talking about D and DD travel so it was the perfect opportunity to mention. Yeah, I know he will. I'm excited to tell him. He's going to be really grateful. Our relationship is really quite a special one. We really truly look out for each other. Him and my bonus, me and this, or other things he finds really hard to talk about bc of his personality, deference to andy, etc",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795470/all_messages_split_to_14000_4_content_only-00-25.png,null
5637023,1/25/17 7:31 AM,2017-01-25 07:31:43,Wednesday,1485329503,DCNF,You two need to talk about what you're doing in 13 months… And I'm SO late. No way I get out the door before 8…,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795470/all_messages_split_to_14000_4_content_only-00-26.png,null
5425773,1/25/17 7:32 AM,2017-01-25 07:32:30,Wednesday,1485329550,DCNF,I hope you stay. Is there any way you stay? And I can't help but get the feeling JB may leave well before the D....,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795470/all_messages_split_to_14000_4_content_only-00-27.png,null
5357011,1/25/17 7:32 AM,2017-01-25 07:32:46,Wednesday,1485329566,DCNF,"Yeah, yeah, yeah... Sheesh! I'm almost done! Just have to go wrestle the stinker now...",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795470/all_messages_split_to_14000_4_content_only-00-28.png,null
5354101,1/27/17 9:32 AM,2017-01-27 09:32:28,Friday,1485509548,DCNF,"You should cry. It's positive. It's awesome you're there. And yeah, you could, with 1.1. Or you could settle for 500 and not work crazy sick hours. All that really p*sses me off. I don't know why I simply can't be happy for him. I think it's my sense of injustice about it.",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795471/all_messages_split_to_14000_4_content_only-00-29.png,null
5353024,1/27/17 11:03 PM,2017-01-27 23:03:25,Friday,1485558205,DCNF,It begins... NYTimes: Russian Charged With Treason Worked in Office Linked to Election Hacking Russian Charged With Treason Worked in Office Linked to Election Hacking https://nyti_ms/2iFJaoO,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795471/all_messages_split_to_14000_4_content_only-00-30.png,null
5352061,1/28/17 10:23 AM,2017-01-28 10:23:00,Saturday,1485598980,DCNF,"I'm happy to do that as,",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795471/all_messages_split_to_14000_4_content_only-00-31.png,null
5215483,1/28/17 10:23 AM,2017-01-28 10:23:33,Saturday,1485599013,DCNF,You could feel it coming in the air yesterday for some reason. That's why had my guy come in and give me a deep dive on rhe white board yesterday. Probably wasn't wasted effort.,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795471/all_messages_split_to_14000_4_content_only-00-32.png,null
5009277,2/3/17 6:19 AM,2017-02-03 06:19:10,Friday,1486102750,DCNF,Nothing like a 4:00 am email that British [redacted] needs to talk urgently. I'm on the road in 10....,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795472/all_messages_split_to_14000_4_content_only-00-33.png,null
5009268,2/4/17 3:56 PM,2017-02-04 15:56:00,Friday,1486223760,DCNF,Music from banned countries? Not following. Like A,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795472/all_messages_split_to_14000_4_content_only-00-34.png,null
5009222,2/4/17 3:57 PM,2017-02-04 15:57:00,Friday,1486223820,DCNF,"Yes, from the visa ban countries. Iran, Syria, etc",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795472/all_messages_split_to_14000_4_content_only-00-35.png,null
4928044,2/4/17 3:58 PM,2017-02-04 15:58:00,Saturday,1486223880,DCNF,"Oh. Got it. Amazing you recognize songs. Thats re,",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795472/all_messages_split_to_14000_4_content_only-00-36.png,null
4910915,2/4/17 8:19 PM,2017-02-04 20:19:00,Saturday,1486239540,DCNF,"Ha, did not realize that [redacted] is one of the ausas",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795473/all_messages_split_to_14000_4_content_only-00-37.png,null
4765048,2/4/17 8:42 PM,2017-02-04 20:42:00,Saturday,1486240920,DCNF,And hi,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795473/all_messages_split_to_14000_4_content_only-00-38.png,null
4753004,2/4/17 8:42 PM,2017-02-04 20:42:00,Saturday,1486240920,DCNF,Small world. [redacted] was in their scif working on,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795473/all_messages_split_to_14000_4_content_only-00-39.png,null
4751006,2/5/17 7:48 AM,2017-02-05 07:48:49,Sunday,1486280929,DCNF,You think [redacted] would be interested in [redacted] or [redacted]?,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795473/all_messages_split_to_14000_4_content_only-00-40.png,null
4712037,2/5/17 7:59 AM,2017-02-05 07:59:15,Sunday,1486281555,DCNF,Hmm. Maybe. Depends in large part on what [redacted] decides to do. CT is his first love after all….,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795474/all_messages_split_to_14000_4_content_only-00-41.png,null
4591017,2/5/17 8:47 AM,2017-02-05 08:47:00,Sunday,1486284420,DCNF,You see the tweet about the Seattle judge?,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795474/all_messages_split_to_14000_4_content_only-00-42.png,null
4503300,2/5/17 8:48 AM,2017-02-05 08:48:00,Sunday,1486284480,DCNF,I did.,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795474/all_messages_split_to_14000_4_content_only-00-43.png,null
4503200,2/5/17 12:28 PM,2017-02-05 12:28:55,Sunday,1486297735,DCNF,Check the red side from beth.,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795474/all_messages_split_to_14000_4_content_only-00-44.png,null
4423600,2/5/17 1:20 PM,2017-02-05 13:20:00,Sunday,1486300800,DCNF,[garbled text] [redacted] [garbled text] Hi there. Work clearly n,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795474/all_messages_split_to_14000_4_content_only-00-45.png,null
4379502,2/6/17 5:53 PM,2017-02-06 17:53:33,Monday,1486403613,DCNF,Pete - I most certainly am not funning you. I do think you should be our attendee. The meeting is about the new Admin setting its strategy for the country that concerns you most (at least top two). The DD wants at least DAD attendance at all PCCs until further notice.,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795475/all_messages_split_to_14000_4_content_only-00-46.png,null
4379401,2/6/17 5:57 PM,2017-02-06 17:57:00,Monday,1486403820,DCNF,I'm not conflating anything. I get those are two very differerent relationships.,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795475/all_messages_split_to_14000_4_content_only-00-47.png,null
4281801,2/6/17 5:57 PM,2017-02-06 17:57:11,Monday,1486403831,DCNF,"Except this country is in Jen's branch, no mine. And she will be ALL OVER this. The trick will be to keep her from appointing herself to all such PCCs, regardless of topic. And she does need an IA from [redacted] to back bench her.",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795475/all_messages_split_to_14000_4_content_only-00-48.png,null
4262900,2/6/17 6:22 PM,2017-02-06 18:22:00,Monday,1486405320,DCNF,And don't conflate my email to Bill with my gratitude for you. That's totally unfair.,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795475/all_messages_split_to_14000_4_content_only-00-49.png,null
4079087,2/6/17 6:22 PM,2017-02-06 18:22:59,Monday,1486405379,DCNF,I really don't understand how she has a monopoly on all work related to this country.,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795488/all_messages_split_to_14000_4_content_only-00-50.png,null
,,,,,,,,,,
,,,,,,,,,,
